envoy-1  | 2026-09-23T10:24:25.402891995Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
envoy-1  | 2026-09-23T10:24:25.402901998Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.compressor: envoy.compression.brotli.compressor, envoy.compression.gzip.compressor, envoy.compression.zstd.compressor
envoy-1  | 2026-09-23T10:24:25.402912150Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.custom_response: envoy.extensions.http.custom_response.local_response_policy, envoy.extensions.http.custom_response.redirect_policy
envoy-1  | 2026-09-23T10:24:25.402922366Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rds_factory: envoy.rds_factory.default
envoy-1  | 2026-09-23T10:24:25.402939755Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.match: envoy.path.match.uri_template.uri_template_matcher
envoy-1  | 2026-09-23T10:24:25.402949683Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.header_validators: envoy.http.header_validators.envoy_default
envoy-1  | 2026-09-23T10:24:25.402959610Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.connection_handler: envoy.connection_handler.default
envoy-1  | 2026-09-23T10:24:25.402969475Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_header_formatters: envoy.http.stateful_header_formatters.preserve_case, preserve_case
envoy-1  | 2026-09-23T10:24:25.402979547Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.router.cluster_specifier_plugin: envoy.router.cluster_specifier_plugin.cluster_fallback, envoy.router.cluster_specifier_plugin.golang
envoy-1  | 2026-09-23T10:24:25.402990030Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.extensions.upstreams.tcp.v3.TcpProtocolOptions, envoy.upstreams.http.http_protocol_options, envoy.upstreams.tcp.tcp_protocol_options
envoy-1  | 2026-09-23T10:24:25.403001691Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.listener: envoy.filters.listener.http_inspector, envoy.filters.listener.original_dst, envoy.filters.listener.original_src, envoy.filters.listener.proxy_protocol, envoy.filters.listener.tls_inspector, envoy.listener.http_inspector, envoy.listener.original_dst, envoy.listener.original_src, envoy.listener.proxy_protocol, envoy.listener.tls_inspector, istio.set_internal_dst_address
envoy-1  | 2026-09-23T10:24:25.403013190Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.sip_proxy.filters: envoy.filters.sip.router
envoy-1  | 2026-09-23T10:24:25.403023019Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers: envoy.access_loggers.file, envoy.access_loggers.http_grpc, envoy.access_loggers.open_telemetry, envoy.access_loggers.stderr, envoy.access_loggers.stdout, envoy.access_loggers.tcp_grpc, envoy.access_loggers.wasm, envoy.file_access_log, envoy.http_grpc_access_log, envoy.open_telemetry_access_log, envoy.stderr_access_log, envoy.stdout_access_log, envoy.tcp_grpc_access_log, envoy.wasm_access_log
envoy-1  | 2026-09-23T10:24:25.403034903Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.clusters: envoy.cluster.dns, envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
envoy-1  | 2026-09-23T10:24:25.403046086Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http.upstream: envoy.buffer, envoy.ext_proc, envoy.filters.http.admission_control, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.buffer, envoy.filters.http.composite, envoy.filters.http.ext_proc, envoy.filters.http.header_mutation, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.upstream_codec, envoy.filters.http.wasm
envoy-1  | 2026-09-23T10:24:25.403057686Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   network.connection.client: default, envoy_internal
envoy-1  | 2026-09-23T10:24:25.403075479Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.udp_packet_writer: envoy.udp_packet_writer.default, envoy.udp_packet_writer.gso
envoy-1  | 2026-09-23T10:24:25.403086350Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.network: envoy.echo, envoy.ext_authz, envoy.filters.network.connect_authority, envoy.filters.network.connection_limit, envoy.filters.network.direct_response, envoy.filters.network.dubbo_proxy, envoy.filters.network.echo, envoy.filters.network.ext_authz, envoy.filters.network.golang, envoy.filters.network.http_connection_manager, envoy.filters.network.istio_stats, envoy.filters.network.kafka_broker, envoy.filters.network.kafka_mesh, envoy.filters.network.local_ratelimit, envoy.filters.network.metadata_exchange, envoy.filters.network.mongo_proxy, envoy.filters.network.mysql_proxy, envoy.filters.network.postgres_proxy, envoy.filters.network.ratelimit, envoy.filters.network.rbac, envoy.filters.network.redis_proxy, envoy.filters.network.rocketmq_proxy, envoy.filters.network.sip_proxy, envoy.filters.network.sni_cluster, envoy.filters.network.sni_dynamic_forward_proxy, envoy.filters.network.tcp_cluster_rewrite, envoy.filters.network.tcp_proxy, envoy.filters.network.thrift_proxy, envoy.filters.network.wasm, envoy.filters.network.zookeeper_proxy, envoy.http_connection_manager, envoy.mongo_proxy, envoy.ratelimit, envoy.redis_proxy, envoy.tcp_proxy, forward_downstream_sni, io.istio.network.authn, sni_verifier
envoy-1  | 2026-09-23T10:24:25.403102246Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.bootstrap: envoy.bootstrap.internal_listener, envoy.bootstrap.wasm, envoy.bootstrap.workload_discovery, envoy.extensions.network.socket_interface.default_socket_interface
envoy-1  | 2026-09-23T10:24:25.403112747Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.transport_sockets.downstream: envoy.transport_sockets.alts, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tls, raw_buffer, starttls, tls
envoy-1  | 2026-09-23T10:24:25.403123882Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.common_inputs: envoy.matching.common_inputs.environment_variable
envoy-1  | 2026-09-23T10:24:25.403133850Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.load_balancing_policies: envoy.load_balancing_policies.least_request, envoy.load_balancing_policies.maglev, envoy.load_balancing_policies.override_host, envoy.load_balancing_policies.random, envoy.load_balancing_policies.ring_hash, envoy.load_balancing_policies.round_robin, envoy.load_balancing_policies.subset
envoy-1  | 2026-09-23T10:24:25.403145063Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.ssl.server_context_factory: envoy.ssl.server_context_factory.default
envoy-1  | 2026-09-23T10:24:25.403154770Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
envoy-1  | 2026-09-23T10:24:25.403164747Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
envoy-1  | 2026-09-23T10:24:25.403174903Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.mcp_sse_stateful_session: envoy.http.mcp_sse_stateful_session.envelope
envoy-1  | 2026-09-23T10:24:25.403192231Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
envoy-1  | 2026-09-23T10:24:25.403202202Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.health_checkers: envoy.health_checkers.grpc, envoy.health_checkers.http, envoy.health_checkers.redis, envoy.health_checkers.tcp
envoy-1  | 2026-09-23T10:24:25.403212310Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
envoy-1  | 2026-09-23T10:24:25.403224471Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.request_id: envoy.request_id.uuid
envoy-1  | 2026-09-23T10:24:25.403234110Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
envoy-1  | 2026-09-23T10:24:25.403243794Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.grpc_credentials: envoy.grpc_credentials.default, envoy.grpc_credentials.file_based_metadata
envoy-1  | 2026-09-23T10:24:25.403253750Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
envoy-1  | 2026-09-23T10:24:25.403264066Z [2026-09-23 10:24:25.402][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
envoy-1  | 2026-09-23T10:24:25.408391280Z [2026-09-23 10:24:25.408][1][info][main] [external/envoy/source/server/server.cc:531] HTTP header map info:
